"Region","Location","Rep","Block","Hybrid","GY"
"TB","E12",1,6,"G3",4.1
"TB","E12",2,9,"G9",9.14
"TB","E12",2,11,"G20",6.24
"TB","E12",2,8,"G34",6.52
"TB","E12",2,10,"G18",7.87
"TB","E12",2,9,"G30",8.12
"TB","E12",2,11,"G27",8.14
"TB","E12",2,7,"G29",7.64
"TB","E12",2,11,"G26",8.68
"TB","E12",2,8,"G15",5.6
"TB","E12",2,11,"G19",6.28
"TB","E12",2,12,"G5",6.12
"TB","E12",2,7,"G16",7.05
"TB","E12",2,9,"G6",7.49
"TB","E12",2,11,"G17",6.98
"TB","E12",2,7,"G23",6.11
"TB","E12",2,7,"G31",6.69
"TB","E12",2,10,"G12",7.04
"TB","E12",2,12,"G28",5.73
"TB","E12",2,12,"G13",5.78
"TB","E12",2,9,"G24",7.98
"TB","E12",2,10,"G25",7.69
"TB","E12",2,8,"G11",4.72
"TB","E12",2,8,"G21",6.4
"TB","E12",2,12,"G35",7.27
"TB","E12",2,8,"G7",7.42
"TB","E12",2,10,"G8",7.76
"TB","E12",2,11,"G22",7.94
"TB","E12",2,12,"G33",4.18
"TB","E12",2,8,"G32",6.03
"TB","E12",2,7,"G10",4.88
"TB","E12",2,7,"G36",6.32
"TB","E12",2,9,"G14",7.82
"TB","E12",2,9,"G4",6.74
"TB","E12",2,10,"G1",7.38
"TB","E12",2,10,"G3",7.19
"TB","E12",2,12,"G2",6.46
"TA","E7",1,3,"G9",13.73
"TA","E7",1,6,"G20",12.19
"TA","E7",1,5,"G34",11.64
"TA","E7",1,4,"G18",12.85
"TA","E7",1,6,"G30",13.41
"TA","E7",1,5,"G27",12.1
"TA","E7",1,5,"G29",12.08
"TA","E7",1,4,"G26",11.21
"TA","E7",1,3,"G15",11.06
"TA","E7",1,2,"G19",11.82
"TA","E7",1,1,"G5",11.38
"TA","E7",1,4,"G16",11.9
"TA","E7",1,1,"G6",10.13
"TA","E7",1,3,"G17",11.46
"TA","E7",1,2,"G23",13.67
"TA","E7",1,6,"G31",10.69
"TA","E7",1,3,"G12",14.84
"TA","E7",1,5,"G28",12.84
"TA","E7",1,2,"G13",13.37
"TA","E7",1,5,"G24",12.43
"TA","E7",1,5,"G25",12.73
"TA","E7",1,4,"G11",11.61
